constructorStandingsId,raceId,constructorId,points,position,positionText,wins
"28932,1139,214,13,9,""9"",0"
"28933,1140,9,512,3,""3"",7"
"28934,1140,6,537,2,""2"",5"
"28935,1140,131,366,4,""4"",3"
"28936,1140,1,566,1,""1"",5"
"28937,1140,117,86,5,""5"",0"
"28938,1140,15,0,10,""10"",0"
"28939,1140,210,46,6,""6"",0"
"28940,1140,215,36,7,""7"",0"
"28941,1140,3,17,8,""8"",0"
"28942,1140,214,14,9,""9"",0"
"28943,1141,9,544,3,""3"",8"
"28944,1141,6,557,2,""2"",5"
"28945,1141,131,382,4,""4"",3"
"28946,1141,1,593,1,""1"",5"
"28947,1141,117,86,5,""5"",0"
"28948,1141,15,0,10,""10"",0"
"28949,1141,210,46,7,""7"",0"
"28950,1141,215,44,8,""8"",0"
"28951,1141,3,17,9,""9"",0"
"28952,1141,214,49,6,""6"",0"
"28953,1142,9,555,3,""3"",8"
"28954,1142,6,584,2,""2"",5"
"28955,1142,131,425,4,""4"",4"
"28956,1142,1,608,1,""1"",5"
"28957,1142,117,86,5,""5"",0"
"28958,1142,15,0,10,""10"",0"
"28959,1142,210,50,6,""6"",0"
"28960,1142,215,46,8,""8"",0"
"28961,1142,3,17,9,""9"",0"
"28962,1142,214,49,7,""7"",0"
"28963,1143,9,581,3,""3"",9"
"28964,1143,6,619,2,""2"",5"
"28965,1143,131,446,4,""4"",4"
"28966,1143,1,640,1,""1"",5"
"28967,1143,117,92,5,""5"",0"
"28968,1143,15,4,10,""10"",0"
"28969,1143,210,54,7,""7"",0"
"28970,1143,215,46,8,""8"",0"
"28971,1143,3,17,9,""9"",0"
"28972,1143,214,59,6,""6"",0"
"28973,1144,9,589,3,""3"",9"
"28974,1144,6,652,2,""2"",5"
"28975,1144,131,468,4,""4"",4"
"28976,1144,1,666,1,""1"",6"
"28977,1144,117,94,5,""5"",0"
"28978,1144,15,4,10,""10"",0"
"28979,1144,210,58,7,""7"",0"
"28980,1144,215,46,8,""8"",0"
"28981,1144,3,17,9,""9"",0"
"28982,1144,214,65,6,""6"",0"
